CNT,gender,immigrant_status,belonging,math_anxiety,parent_edu,parent_occ,ict_resources,ses,math_score,ses_quartile,country
PSE,Female,1.0,-0.0602,-0.7447,8.0,75.54,-2.0835,-0.1353,345.49729999999994,Q2,Palestine
PSE,Male,1.0,0.5403,0.6387,7.0,79.05,0.8131,0.5832,356.43489999999997,Q3,Palestine
PSE,Female,1.0,-0.0682,-0.2758,6.0,75.54,-2.5772,-1.1196,286.56129999999996,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.779,0.7774,5.0,33.76,0.31,-0.9027,304.6139,Q2,Palestine
PSE,Male,,,,,,-1.2731,,279.23760000000004,,Palestine
PSE,Female,1.0,0.2315,-0.1371,9.0,76.65,-1.7441,-0.0989,438.8338,Q2,Palestine
PSE,Male,,,,1.0,17.0,-2.4207,-3.7708,262.2115,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.3533,0.1931,5.0,25.23,-2.3008,-2.085,343.43820000000005,Q1 (Lowest),Palestine
PSE,Male,1.0,0.0271,1.9128,7.0,24.53,-0.1882,-0.7009,324.90870000000007,Q2,Palestine
PSE,Female,1.0,-1.3899,-2.382,7.0,71.39,0.1503,0.1474,388.79869999999994,Q3,Palestine
